Type	SeqNo	RetxCount
BestRoute	1240	2
BestRoute	1242	2
BestRoute	1298	1
BestRoute	1244	2
BestRoute	1300	1
BestRoute	1245	2
BestRoute	1302	1
BestRoute	1303	1
BestRoute	1304	1
BestRoute	1305	1
BestRoute	1306	1
BestRoute	1307	1
BestRoute	1308	1
BestRoute	1309	1
BestRoute	1310	1
BestRoute	1311	1
BestRoute	1312	1
BestRoute	1313	1
BestRoute	1314	1
BestRoute	1315	1
BestRoute	1316	1
BestRoute	1317	1
BestRoute	1318	1
BestRoute	1319	1
BestRoute	1320	1
BestRoute	1321	1
BestRoute	1322	1
BestRoute	1323	1
BestRoute	1324	1
BestRoute	1325	1
BestRoute	1326	1
BestRoute	1327	1
BestRoute	1328	1
BestRoute	1329	1
BestRoute	1330	1
BestRoute	1331	1
BestRoute	1332	1
BestRoute	1333	1
BestRoute	1334	1
BestRoute	1335	1
BestRoute	1336	1
BestRoute	1337	1
BestRoute	1338	1
BestRoute	1339	1
BestRoute	1340	1
BestRoute	1341	1
BestRoute	1342	1
BestRoute	1343	1
BestRoute	1344	1
BestRoute	1345	1
BestRoute	1346	1
BestRoute	1347	1
BestRoute	1348	1
BestRoute	1349	1
BestRoute	1350	1
BestRoute	1352	1
BestRoute	1353	1
BestRoute	1355	1
BestRoute	1357	1
BestRoute	1359	1
BestRoute	1360	1
BestRoute	1362	1
BestRoute	1364	1
BestRoute	1366	1
