Type	SeqNo	Delay
BestRoute	871	170.080000
BestRoute	873	170.080000
BestRoute	875	170.080000
BestRoute	876	170.080000
BestRoute	878	170.080000
BestRoute	880	170.080000
BestRoute	882	170.080000
BestRoute	883	172.206000
BestRoute	885	172.206000
BestRoute	887	172.206000
BestRoute	889	172.206000
BestRoute	890	172.206000
BestRoute	892	172.206000
BestRoute	894	172.206000
BestRoute	896	172.206000
BestRoute	897	174.332000
BestRoute	899	174.332000
BestRoute	901	174.332000
BestRoute	903	174.332000
BestRoute	904	174.332000
BestRoute	906	174.332000
BestRoute	908	174.332000
BestRoute	910	174.332000
BestRoute	911	176.458000
BestRoute	913	176.458000
BestRoute	915	176.458000
BestRoute	917	176.458000
BestRoute	918	176.458000
BestRoute	920	176.458000
BestRoute	922	176.458000
BestRoute	924	176.458000
BestRoute	925	178.584000
BestRoute	927	178.584000
BestRoute	929	178.584000
BestRoute	931	178.584000
BestRoute	932	178.584000
BestRoute	934	178.584000
BestRoute	936	178.584000
BestRoute	938	178.584000
BestRoute	939	180.710000
BestRoute	941	180.710000
BestRoute	943	180.710000
BestRoute	945	180.710000
BestRoute	946	180.710000
BestRoute	948	180.710000
BestRoute	950	180.710000
BestRoute	952	180.710000
BestRoute	953	182.836000
BestRoute	955	182.836000
BestRoute	957	182.836000
BestRoute	959	182.836000
BestRoute	807	593.983000
BestRoute	839	685.851000
BestRoute	842	683.016000
BestRoute	844	857.940000
BestRoute	846	857.232000
BestRoute	849	856.523000
BestRoute	851	855.814000
BestRoute	867	1006.400000
BestRoute	870	1003.560000
BestRoute	853	1027.900000
BestRoute	856	1025.070000
BestRoute	858	1024.360000
BestRoute	860	1023.650000
BestRoute	863	1022.940000
BestRoute	865	1022.230000
BestRoute	877	1164.780000
BestRoute	879	1164.070000
BestRoute	881	1165.730000
BestRoute	884	1162.900000
BestRoute	886	1162.190000
BestRoute	888	1161.480000
BestRoute	891	1160.770000
BestRoute	893	1160.060000
BestRoute	895	1159.350000
BestRoute	872	1184.160000
BestRoute	898	1157.940000
BestRoute	874	1184.860000
BestRoute	900	1158.640000
BestRoute	902	1157.940000
BestRoute	905	1157.230000
BestRoute	907	1156.520000
BestRoute	960	119.198000
BestRoute	961	121.324000
BestRoute	962	122.033000
BestRoute	963	124.159000
BestRoute	964	124.867000
BestRoute	965	126.993000
BestRoute	966	127.702000
BestRoute	967	129.828000
BestRoute	968	130.537000
BestRoute	969	132.663000
BestRoute	909	1298.350000
BestRoute	912	1295.520000
BestRoute	914	1294.810000
BestRoute	916	1294.100000
BestRoute	919	1293.390000
BestRoute	921	1292.680000
BestRoute	923	1291.970000
BestRoute	926	1289.140000
BestRoute	928	1288.430000
BestRoute	930	1287.720000
BestRoute	933	1287.010000
BestRoute	935	1286.300000
BestRoute	937	1285.590000
BestRoute	940	1282.760000
BestRoute	942	1282.050000
BestRoute	944	1281.340000
BestRoute	947	1280.630000
BestRoute	949	1279.920000
BestRoute	951	1279.220000
BestRoute	954	1276.380000
BestRoute	956	1275.670000
BestRoute	958	1274.960000
BestRoute	970	119.198000
BestRoute	971	121.324000
BestRoute	972	121.324000
BestRoute	973	123.450000
BestRoute	974	123.450000
BestRoute	975	125.576000
BestRoute	976	125.576000
BestRoute	977	127.702000
BestRoute	978	127.702000
BestRoute	979	129.828000
BestRoute	980	129.828000
BestRoute	981	131.954000
BestRoute	982	131.954000
BestRoute	983	134.080000
BestRoute	984	134.080000
BestRoute	985	136.206000
BestRoute	986	136.206000
BestRoute	987	138.332000
BestRoute	988	138.332000
BestRoute	989	140.458000
BestRoute	990	131.289000
BestRoute	991	133.415000
BestRoute	992	134.124000
BestRoute	993	136.250000
BestRoute	994	136.958000
BestRoute	995	139.084000
BestRoute	996	139.793000
BestRoute	997	141.919000
BestRoute	998	142.628000
BestRoute	999	144.754000
BestRoute	1000	145.462000
BestRoute	1001	147.588000
BestRoute	1002	148.297000
BestRoute	1003	150.423000
BestRoute	1004	151.132000
BestRoute	1005	153.258000
BestRoute	1006	153.966000
BestRoute	1007	156.092000
BestRoute	1008	156.801000
BestRoute	1009	158.927000
BestRoute	1010	159.636000
BestRoute	1011	161.762000
BestRoute	1012	162.470000
BestRoute	1013	164.596000
BestRoute	1014	165.305000
BestRoute	1015	167.431000
BestRoute	1016	168.140000
BestRoute	1017	170.266000
BestRoute	1018	170.974000
BestRoute	1019	173.100000
BestRoute	1020	173.809000
BestRoute	1021	175.935000
BestRoute	1022	176.644000
BestRoute	1023	178.770000
BestRoute	1025	179.478000
BestRoute	1027	180.187000
BestRoute	1028	180.896000
BestRoute	1030	181.604000
BestRoute	1032	182.313000
BestRoute	1034	125.434000
BestRoute	1035	127.560000
BestRoute	1036	127.560000
BestRoute	1037	129.686000
BestRoute	1038	129.686000
BestRoute	1039	131.812000
BestRoute	1040	131.812000
BestRoute	1041	133.938000
BestRoute	1042	133.938000
BestRoute	1043	136.064000
BestRoute	1044	136.064000
BestRoute	1045	138.190000
BestRoute	1046	138.190000
BestRoute	1047	140.316000
BestRoute	1048	140.316000
BestRoute	1049	142.442000
BestRoute	1050	142.442000
BestRoute	1051	144.568000
BestRoute	1052	144.568000
BestRoute	1053	146.694000
BestRoute	1054	146.694000
BestRoute	1055	148.820000
BestRoute	1056	148.820000
BestRoute	1057	150.946000
